Noun;Verb;Verb;Adjective;Subject;Postposition;Insultive;Romantic;Product;Producer;Color;Political;Descriptive;Object;Tool;Conjunktion;Greeting
;;;;beast;;;;;;;;;x;;;
;;;;vampire;;;;;;;;;x;;;
;;;slow;;;;;;;;;;;;;
;;;fast;;;;;;;;;;;;;
machine;;;;;;;;;;;;x;x;;2;
dupe;;;;;;;;;;;;;x;;;
tool;;;;;;;;;;;;;x;;;
;;using;used;;;;;;;;;;;;;
;;;hungry;;;;;;;;;;;;;
magnet;;;;magneto;;;;;;;;;x;;;
wolf;;;;wolverine;;;;;;;;;x;;;
squirrel;;;;;;;;;;;;;x;;4;
titan;;;;;;;;;;;;;x;;;
coloss;;;colossal;;;;;;;;;;x;;;
;;;;;phant;;;;;;;;;;4;
;;;happy;;;;;;;;;;;;;
;;;sad;;;;;;;;;;;;;
wine;;;;;;;;x;;;;;;;;
game;;;;;;;;;;;;;;;;
movie;;;;;;;;;;;;;;;;
;;;radical;;;;;;;;;;;;;
product;;;;;;;;;;;;;x;;;
transmission;;;;;;;;;;;;;x;;;
bishop;;;;;;;;;;;x;;x;;;
priest;;;;;;;;;;;x;;x;;;
pope;;;;;;;;;;;x;;x;;;
messiah;;;;;;;;;;;x;;x;;;
terrorist;;;;;;;;;;;;;x;;;
bee;;;;;;;;;;;;;x;;;
hornet;;;;;;;;;;;;;x;;;
wasp;;;;;;;;;;;;;x;;;
turtle;;;;;;;;;;;;;x;;;
lion;;;;;;;;;;;;;x;;;
osmosis;;;;;;;;;;;;;;;;
membrane;;;;;;;;;;;;;x;;;
smoke;;;;;;;;;;;;;x;;;
trap;;;;;;;;;;;;;x;;;
;;;;khan;;;;;;;;;x;;;
;;;;napoleon;;;;;;;;;x;;;
;;;;caesar;;;;;;;;;x;;;
;;;;ghoul;;;;;;;;;x;;;
;;;;frankenstein;;;;;;;;;x;;;
;;;;einstein;;;;;;;;;x;;;
;;;;siegfried;;;;;;;;;x;;;
;;;;brunhilde;;;;;;;;;x;;;
;hails;;;;;;;;;;;;;;;x
;greets;;;;;;;;;;;;;;;x
;welcomes;;;;;;;;;;;;;;;x
;acknowledges;;;;;;;;;;;;;;;x
;introduces;;;;;;;;;;;;;;;x
;registers;;;;;;;;;;;;;;;x
